それ,"that, that one",Pronoun,それはとってもいい話だ。,That's a really nice story.,1,1
見る,"see, look at",Verb,私は絵を見るのが好きです。,I like looking at pictures.,1,2
円,circle,Noun,そこに大きな円を描いて。,Draw a big circle there.,1,3
多い,lots of,Adjective,京都にはお寺が多い。,There are a lot of temples in Kyoto.,1,4
家,"house, home, my family",Noun,家に遊びに来てください。,Please come over to my house.,1,5
これ,"this, this one",Noun,これをください。,I'll have this please.,1,6
新しい,new,Adjective,彼の車は新しい。,His car is new.,1,7
私,I,Noun,私が行きましょう。,Why don't I go.,1,8
仕事,"work, job",Noun,3月は仕事が忙しい。,I have a lot of work in March.,1,9
始める,"begin, start を",Verb,テストを始めてください。,Please start the test.,1,10
なる,become,Verb,彼は医者になりました。,He became a doctor.,1,11
する,"do, make",Verb,友達と一緒に宿題をした。,I did my homework with a friend.,1,12
出る,"go out, leave",Verb,今朝は早く家を出ました。,I left the house early this morning.,1,13
使う,use,Verb,このパソコンを使ってください。,Please use this computer.,1,14
ところ,place,Noun,私は友達のところに泊まった。,I stayed at my friend's place for the night.,1,15
思う,think,Verb,私もそう思います。,I think so too.,1,16
持つ,"have, possess",Verb,私は車を持っています。,I have a car.,1,17
時間,"time, hour",Noun,今は時間がありません。,I don't have time now.,1,18
今年,this year,Noun,今年はイタリアに旅行したい。,I want to travel to Italy this year.,1,19
知る,"&nbsp;(get to) know, realize",Verb,誰もその話を知らない。,No one knows that story.,1,20
作る,"make, create",Verb,今、朝ご飯を作っています。,I'm making breakfast now.,1,21
同じ,"same, identical",Adjectival Noun,彼の日本語のレベルは私と同じ位だ。,His Japanese level is about the same as mine.,1,22
今,now,Adverb,彼は今、勉強しています。,He's studying now.,1,23
続く,"continue, follow が",Verb,工事は3月まで続きます。,Construction will continue until March.,1,24
国,country,Noun,私の国について少しお話しましょう。,Let me tell you a bit about my country.,1,25
まだ,"(not) yet, still",Adverb,宿題はまだ終わっていません。,I haven't finished my homework yet.,1,26
やる,do,Verb,一緒に宿題をやろう。,Let's do our homework together.,1,27
言う,"say, tell",Verb,上司が「一杯、飲もう。」と言った。,"My boss said: ""Let's have a drink.""",1,28
少ない,"few, little",Adjective,今年は雨が少ないです。,There's not much rain this year.,1,29
行く,go,Verb,日曜日は図書館に行きます。,I go to the library on Sundays.,1,30
決める,"decide, agree upon",Verb,帰国することに決めました。,I've decided to go back to my country.,1,31
高い,"high, tall",Adjective,これがこの町で一番高いビルです。,This is the tallest building in town.,1,32
考える,"think, consider",Verb,よく考えてください。,Please think carefully.,1,33
感じる,"feel, sense",Verb,膝に痛みを感じます。,I feel a pain in my knee.,1,34
子供,"child, kid",Noun,電車で子供が騒いでいた。,Kids were making a racket in the train.,1,35
そう,"in such manner, that way",Adverb,私もそう思います。,That's what I think too.,1,36
大学,"university, college",Noun,大学に行ってもっと勉強したいです。,I want to go to college and study more.,1,37
もう,"already, yet",Adverb,彼はもう帰りました。,He's already gone home.,1,38
近く,"near, close to",Adverb,駅の近くで食事をした。,I ate near the station.,1,39
入れる,put in,Verb,彼はかばんに手帳を入れた。,He put the appointment book in his bag.,1,40
学生,student,Noun,彼は真面目な学生です。,He's a serious student.,1,41
失う,"lose, miss",Verb,彼は地震で親を失いました。,He lost his parents due to the earthquake.,1,41
午後,"afternoon, p.m.",Noun,明日の午後、お客様が来る。,A guest is coming to visit tomorrow afternoon.,1,42
長い,long,Adjective,彼女の髪はとても長い。,Her hair is very long.,1,43
本,"book, volume",Noun,本を１冊買いました。,I bought one book.,1,44
よく,often,Adverb,彼女はよく旅行に行きます。,She often goes on holiday.,1,45
彼女,"she, one's girlfriend",Pronoun,彼女はOLです。,She's an office worker.,1,46
聞く,"hear, ask",Verb,彼女はラジオを聞いています。,She's listening to the radio.,1,47
どう,"how, what",Adverb,あなたはどう思いますか。,What do you think?,1,48
生きる,live (one's life),Verb,皆一生懸命生きている。,They're all living their lives the best way that they can.,1,49
言葉,"word, language",Noun,この言葉の意味が分かりません。,I don't understand the meaning of this word.,1,50
顔,face,Noun,彼はタオルで顔を拭きました。,He wiped his face with a towel.,1,51
どこ,where,Noun,あの本をどこに置きましたか。,Where did you put that book?,1,52
一つ,one (thing),Noun,それを一つください。,Please give me one of those.,1,53
あげる,give,Verb,この本、あなたにあげます。,I'll give you this book.,1,54
差,difference,Noun,都心と地方では収入に大きな差があるね。,There is a big difference in income between rural and urban areas.,1,54
こう,"like this, this kind of",Adverb,こう小さい字は読めない。,I can't read such small letters.,1,55
学校,school,Noun,学校は8時半に始まります。,School starts at 8:30.,1,56
くれる,give (to me),Verb,友達が誕生日プレゼントをくれた。,My friend gave me a birthday present.,1,57
起きる,"get up, get out of bed",Verb,私は毎朝6時に起きます。,I get up at six o'clock every morning.,1,58
春,spring,Noun,今年の春は暖かいね。,"It's warm this spring, isn't it.",1,59
午前,"morning, a.m.",Noun,午前9時のニュースです。,And now for the 9.00 a.m. news.,1,60
買う,buy,Verb,郵便局で切手を買いました。,I bought a stamp at the post office.,1,61
別,"another, different",Adjectival Noun,別の本も見せてください。,Please show me another book.,1,62
終わる,"finish, end",Verb,会議は4時に終わります。,The conference ends at four o'clock.,1,63
若い,young,Adjective,彼はまだ若いです。,He's still young.,1,64
かなり,"fairly, rather",Adverb,彼はかなり英語が上手です。,He's pretty good at English.,1,65
置く,"put, leave",Verb,彼はかばんをいすの上に置きました。,He put the bag on the chair.,1,66
住む,"live, reside",Verb,彼は会社の近くに住んでいる。,He lives near his office.,1,67
戻る,"return, turn back",Verb,今、会社に戻ります。,I'm going back to the office now.,1,68
働く,to work,Verb,姉は銀行で働いています。,My big sister works at a bank.,1,69
後,after,Adverb,仕事の後、映画を見た。,I saw a movie after work.,1,70
先生,teacher (respectful title),Noun,私は日本語の先生になりたいです。,I want to become a Japanese teacher.,1,71
立つ,"stand, rise",Verb,彼はステージに立った。,He stood on stage.,1,72
気,"spirit, temperament",Noun,彼は意外に気が小さい。,He's unexpectedly timid.,1,73
呼ぶ,"call, name",Verb,ウェイターを呼びましょう。,Let's call the waiter.,1,74
もっと,more,Adverb,もっと近くに来てください。,Please come closer.,1,75
帰る,"return, go back",Verb,家に帰ろう。,Let's go home.,1,76
気持ち,"feeling (about something, emotion)",Noun,彼の気持ちが分からない。,I don't understand his feelings.,1,77
飛ぶ,fly,Verb,鳥が飛んでいます。,A bird is flying.,1,78
車,"car, automobile",Noun,弟が車を買った。,My younger brother bought a car.,1,79
