,kanji,kanji_with_hiragana,hiragana,meaning,property,example,example_meaning,step1,step2
0,それ,それ,それ,"that, that one",Pronoun,<b>それ</b>はとってもいい話だ。,That's a really nice story.,1,1
1,一つ,一[ひと]つ,ひとつ,one (thing),Noun,それを<b>一つ</b>ください。,Please give me one of those.,1,53
2,一,一[いち],いち,one,Noun,<b>一</b>から始めましょう。,Let's start from the beginning.,1,114
3,二,二[に],に,two,Noun,その人には<b>二</b>回会った。,I met that person twice.,2,76
4,二つ,二[ふた]つ,ふたつ,two (things),Noun,ソフトクリームを<b>二つ</b>ください。,Please give me two ice cream cones.,2,94
5,三,三[さん],さん,three,Noun,彼女は<b>三</b>人の子供の母親だ。,She's the mother of three children.,2,92
6,三つ,三[みっ]つ,みっつ,three (things),Noun,コップを<b>三つ</b>買いました。,I bought three glasses.,2,117
7,四つ,四[よっ]つ,よっつ,four (things),Noun,私は腕時計を<b>四つ</b>持っています。,I have four wristwatches.,2,126
8,四,四[し],し,four,Noun,<b>四</b>月に大学に入学しました。,I entered my university in April.,2,153
9,これ,これ,これ,"this, this one",Noun,<b>これ</b>をください。,I'll have this please.,1,6
10,四,四[よん],よん,four,Noun,ハワイは<b>四</b>回目です。,This is my fourth trip to Hawaii.,2,187
11,五つ,五[いつ]つ,いつつ,five (things),Noun,桃を<b>五つ</b>ください。,"I'd like five peaches, please.",2,130
12,五,五[ご],ご,five,Noun,<b>五</b>人で旅行に行きました。,Five of us went on a trip.,2,147
13,六つ,六[むっ]つ,むっつ,six (things),Noun,息子は<b>六つ</b>になりました。,My son turned six.,2,97
14,六,六[ろく],ろく,six,Noun,彼には子供が<b>六</b>人います。,He has six children.,2,189
15,七,七[なな],なな,seven,Noun,バナナが<b>七</b>本あります。,There are seven bananas.,2,122
16,七つ,七[なな]つ,ななつ,seven (things),Noun,この子は今年<b>七つ</b>になります。,Our kid's turning seven this year.,2,167
17,八,八[はち],はち,eight,Noun,りんごを<b>八</b>個ください。,Please give me eight apples.,2,106
18,八つ,八[やっ]つ,やっつ,eight (things),Noun,あの家には時計が<b>八つ</b>あります。,There are eight clocks in that house.,2,183
19,なる,なる,なる,become,Verb,彼は医者に<b>なりました</b>。,He became a doctor.,1,11
20,九,九[きゅう],きゅう,nine,Noun,野球は<b>九</b>人で1チームです。,In baseball there are nine people on one team.,2,113
21,九つ,九[ここの]つ,ここのつ,nine (things),Noun,娘は明日<b>九つ</b>になります。,My daughter's turning nine tomorrow.,2,149
22,十,十[じゅう],じゅう,ten,Noun,その子は指で<b>十</b>数えました。,The child counted to ten on her fingers.,2,34
23,百,百[ひゃく],ひゃく,hundred,Noun,私の祖母は<b>百</b>才です。,My grandmother is 100 years old.,2,173
24,千,千[せん],せん,thousand,Noun,<b>千</b>円貸してください。,Please lend me 1000 yen.,2,96
25,万,万[まん],まん,ten thousand,Noun,この靴は1<b>万</b>円です。,These shoes are ten thousand yen.,2,178
26,円,円[えん],えん,circle,Noun,そこに大きな<b>円</b>を描いて。,Draw a big circle there.,1,3
27,円,円[えん],えん,yen,Noun,カレーライスは700<b>円</b>です。,The curry and rice is 700 yen.,2,197
28,時,時[とき],とき,time,Noun,<b>時</b>の経つのは早い。,Time passes by quickly.,2,2
29,する,する,する,"do, make",Verb,友達と一緒に宿題を<b>した</b>。,I did my homework with a friend.,1,12
30,時々,時々[ときどき],ときどき,sometimes,Adverb,彼は<b>時々</b>遅刻します。,He's sometimes late.,2,165
31,日,日[にち],にち,day,Noun,私たちは先月11<b>日</b>に結婚しました。,We got married last month on the 11th.,2,66
32,六日,六日[むいか],むいか,"six days, 6th of the month",Noun,<b>六日</b>前に日本に帰ってきました。,I came back to Japan six days ago.,2,98
33,三日,三日[みっか],みっか,"three days, 3rd of the month",Noun,手紙が届くのに<b>三日</b>かかりました。,It took three days for the letter to arrive.,2,107
34,五日,五日[いつか],いつか,"five days, 5th of the month",Noun,五月<b>五日</b>は祝日です,May 5th is a holiday.,2,111
35,八日,八日[ようか],ようか,"eight days, 8th of the month",Noun,<b>八日</b>からイギリスに行きます。,I go to England on the eighth.,2,118
36,二十日,二十日[はつか],はつか,"20 days, 20th of the month",Noun,来月の<b>二十日</b>は弟の誕生日です。,The 20th of next month is my little brother's birthday.,2,123
37,二日,二日[ふつか],ふつか,"two days, 2nd of the month",Noun,私は<b>二日</b>待った。,I waited two days.,2,125
38,九日,九日[ここのか],ここのか,"nine days, 9th of the month",Noun,<b>九日</b>に荷物が届きます。,The package will arrive on the ninth.,2,148
39,ところ,ところ,ところ,place,Noun,私は友達の<b>ところ</b>に泊まった。,I stayed at my friend's place for the night.,1,15
40,一日,一日[ついたち],ついたち,1st of the month,Noun,来月の<b>一日</b>は空いていますか。,Are you free on the 1st of next month?,2,159
41,十日,十日[とおか],とおか,"ten days, 10th of the month",Noun,<b>十日</b>後に帰ります。,I'll come home in ten days.,2,164
42,七日,七日[なのか],なのか,"seven days, 7th of the month",Noun,先月の<b>七日</b>に孫が生まれました。,My grandchild was born on the seventh of last month.,2,169
43,四日,四日[よっか],よっか,"four days, 4th of the month",Noun,新学期は来月の<b>四日</b>からです。,The new school term starts on the fourth of next month.,2,185
44,月,月[つき],つき,moon,Noun,今夜は<b>月</b>がとてもきれいです。,The moon looks so beautiful tonight.,2,160
45,水,水[みず],みず,water,Noun,<b>水</b>を一杯ください。,Please give me a glass of water.,2,74
46,金,金[かね],かね,money,Noun,これはかなり<b>金</b>がかかった。,This cost quite a bit of money.,2,142
47,日曜日,日曜日[にちようび],にちようび,Sunday,Noun,<b>日曜日</b>は海に行きました。,We went to the seaside on Sunday.,2,12
48,土曜日,土曜日[どようび],どようび,Saturday,Noun,<b>土曜日</b>の夜はクラブに行きます。,I'm going to a club Saturday night.,2,39
49,やる,やる,やる,do,Verb,一緒に宿題を<b>やろう</b>。,Let's do our homework together.,1,27
50,金曜日,金曜日[きんようび],きんようび,Friday,Noun,<b>金曜日</b>の夜は友達と出かけます。,I go out with my friends on Friday nights.,2,53
51,月曜日,月曜日[げつようび],げつようび,Monday,Noun,<b>月曜日</b>に会いましょう。,Let's meet on Monday.,2,69
